INCIDENT_ID,DATA_YEAR,STATE_ABBR,SUM_VICTIM_COUNT,latitude,longitude,STATE_NAME
28765,2014,RI,6,41.580095,-71.477429,Rhode Island
28766,2014,SC,67,33.836081,-81.163725,South Carolina
28767,2014,SD,18,43.969515,-99.901813,South Dakota
28768,2014,TN,231,35.517491,-86.580447,Tennessee
28769,2014,TX,184,31.968599,-99.901813,Texas
28770,2014,UT,68,39.32098,-111.093731,Utah
28771,2014,VA,142,37.431573,-78.656894,Virginia
28772,2014,VT,15,44.558803,-72.577841,Vermont
28773,2014,WA,405,47.751074,-120.740139,Washington
28774,2014,WI,67,43.78444,-88.787868,Wisconsin
28775,2014,WV,32,38.597626,-80.454903,West Virginia
28776,2013,AK,9,63.588753,-154.493062,Alaska
28777,2013,AL,6,32.318231,-86.902298,Alabama
28778,2013,AR,34,35.20105,-91.831833,Arkansas
28779,2013,AZ,284,34.048928,-111.093731,Arizona
28780,2013,CA,1049,36.778261,-119.417932,California
28781,2013,CO,171,39.550051,-105.782067,Colorado
28782,2013,CT,175,41.603221,-73.087749,Connecticut
28783,2013,DC,81,38.905985,-77.033418,District of Columbia
28784,2013,DE,21,38.910832,-75.52767,Delaware
28785,2013,FL,133,27.664827,-81.515754,Florida
28786,2013,GA,73,32.157435,-82.907123,Georgia
28787,2013,IA,16,41.878003,-93.097702,Iowa
28788,2013,ID,39,44.068202,-114.742041,Idaho
28789,2013,IL,140,40.633125,-89.398528,Illinois
28790,2013,IN,78,40.551217,-85.602364,Indiana
28791,2013,KS,86,39.011902,-98.484246,Kansas
28792,2013,KY,232,37.839333,-84.270018,Kentucky
28793,2013,LA,26,31.244823,-92.145024,Louisiana
28794,2013,MA,418,42.407211,-71.382437,Massachusetts
28795,2013,MD,61,39.045755,-76.641271,Maryland
28796,2013,ME,28,45.253783,-69.445469,Maine
28797,2013,MI,416,44.314844,-85.602364,Michigan
28798,2013,MN,170,46.729553,-94.6859,Minnesota
28799,2013,MO,125,37.964253,-91.831833,Missouri
28800,2013,MS,4,32.354668,-89.398528,Mississippi
28801,2013,MT,46,46.879682,-110.362566,Montana
28802,2013,NE,36,41.492537,-99.901813,Nebraska
28803,2013,NC,150,35.759573,-79.0193,North Carolina
28804,2013,ND,65,47.551493,-101.002012,North Dakota
28805,2013,NH,27,43.193852,-71.572395,New Hampshire
28806,2013,NJ,447,40.058324,-74.405661,New Jersey
28807,2013,NM,12,34.97273,-105.032363,New Mexico
28808,2013,NV,82,38.80261,-116.419389,Nevada
28809,2013,NY,658,43.299428,-74.217933,New York
28810,2013,OH,433,40.417287,-82.907123,Ohio
28811,2013,OK,50,35.007752,-97.092877,Oklahoma
28812,2013,OR,82,43.804133,-120.554201,Oregon
28813,2013,PA,117,41.203322,-77.194525,Pennsylvania
28814,2013,RI,9,41.580095,-71.477429,Rhode Island
28815,2013,SC,63,33.836081,-81.163725,South Carolina
28816,2013,SD,27,43.969515,-99.901813,South Dakota
